ID,books_count,original_publication_year,language_code,average_rating,cluster,authors,title,PCA1,PCA2
44,217,274,3,3.86,2,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",107.138904,37.38591179
45,257,251,3,4.2,2,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",149.672142,19.49962809
46,515,204,4,3.97,2,Aldous Huxley,Brave New World,411.4998115,4.701080518
47,183,280,3,3.7,0,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",72.65831333,39.14307754
48,125,273,3,4.01,0,Sue Monk Kidd,The Secret Life of Bees,15.9660318,25.03727143
49,2277,156,4,3.8,3,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,2165.947838,174.5663005
50,180,224,4,4.15,0,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,76.59327931,-16.80388931
51,183,275,4,3.85,0,Mark Haddon,The Curious Incident of the Dog in the Night-Time,73.27468901,34.1756039
52,287,267,4,3.94,2,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",177.4667535,39.07442396
53,2498,123,4,3.82,3,"Emily Bront?, Richard J. Dunn",Wuthering Heights,2389.331103,169.098962
54,125,276,4,4.06,0,Jodi Picoult,My Sister's Keeper,15.59486036,28.0085044
55,241,241,4,4.06,2,Kurt Vonnegut Jr.,Slaughterhouse-Five,135.0281488,7.595536995
56,409,208,4,4.28,2,Margaret Mitchell,Gone with the Wind,305.8167864,-4.414045691
57,197,279,4,4.34,0,Khaled Hosseini,A Thousand Splendid Suns,86.67378188,39.87296612
58,128,271,4,4.21,0,Stephen Chbosky,The Perks of Being a Wallflower,19.18912269,23.41710663
59,224,257,4,4.3,2,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",116.1830454,21.37441144
60,2618,103,4,3.75,3,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,2510.882134,164.0647944
61,289,249,4,4.17,2,Stephen King,The Shining (The Shining #1),181.6734363,21.45920846
62,161,280,3,3.84,0,Stephenie Meyer,"The Host (The Host, #1)",50.82657592,36.42741641
63,187,277,4,4.09,0,John Green,Looking for Alaska,76.99718254,36.65397291
64,193,268,4,3.75,0,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",84.06232103,28.46365442
65,1969,97,4,4.06,1,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,1867.586896,77.99962237
66,138,270,4,3.93,0,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",29.23610396,23.65921032
67,129,275,4,3.7,0,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",19.6877422,27.50999936
68,1703,3,4,3.73,1,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,1615.225314,-48.11428509
69,1708,218,4,4.28,1,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,1593.646446,165.8549279
70,92,277,4,4.24,0,Jeannette Walls,The Glass Castle,-17.27618754,24.92735491
71,108,268,4,3.94,0,Jon Krakauer,Into the Wild,-0.287541494,17.97140493
72,525,134,4,3.81,2,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,430.0644544,-63.52799613
73,176,262,14,3.96,0,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",67.92466712,20.35352651
74,81,236,4,4.38,0,Shel Silverstein,The Giving Tree,-23.13083691,-17.11624918
75,158,261,4,4.03,0,John Grisham,A Time to Kill,50.19411801,17.19692286
76,109,230,4,4.3,0,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),5.395668927,-19.61398829
77,129,245,3,4.25,0,William Goldman,The Princess Bride ,23.39186123,-2.254426434
78,156,239,3,4.06,0,S.E. Hinton,The Outsiders,50.92602598,-4.875578956
79,124,277,3,3.93,0,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",14.47990986,28.88319363
80,1350,183,4,4.12,1,Frances Hodgson Burnett,The Secret Garden,1242.705318,86.93250941
81,555,239,4,4.04,4,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,446.8732914,44.37031913
82,2303,163,4,4.06,3,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,2190.884832,184.721973
83,2207,169,4,3.98,3,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,2094.878464,178.8259815
84,209,278,4,4.22,2,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",98.70545079,40.36190991
85,39,270,4,4.02,0,Barbara Kingsolver,The Poisonwood Bible,-69.00666513,11.43885464
86,59,272,4,3.97,0,David Sedaris,Me Talk Pretty One Day,-49.40652723,15.89229153
87,110,235,4,4.22,0,Maurice Sendak,Where the Wild Things Are,5.770804693,-14.52885506
88,1310,120,4,4.21,1,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,1210.788271,19.47783968
89,181,278,4,3.95,0,Cormac McCarthy,The Road,70.91964406,36.90571301
90,131,271,3,4.15,0,Nicholas Sparks,A Walk to Remember,22.16701482,23.79319577
91,144,272,4,3.61,0,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",34.9433508,26.3845786
92,1319,137,4,4.14,1,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,1217.62088,37.45849933
93,202,270,4,4.4,2,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",92.74653278,31.55912147
94,98,277,4,3.64,0,Kim Edwards,The Memory Keeper's Daughter,-11.3220261,25.66811396
95,251,233,3,3.98,2,Joseph Heller,Catch-22,145.9400569,0.897010195
96,172,269,4,4.06,0,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,63.09947471,26.86372902
97,125,274,3,3.98,0,Jeffrey Eugenides,Middlesex,15.84259001,26.02961362
98,2448,148,4,3.89,3,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,2336.627427,187.7354488
99,165,234,3,4.04,0,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",60.47441053,-8.72631273
100,126,261,4,3.9,0,Amy Tan,The Joy Luck Club,18.43889402,13.24694407
101,236,257,4,4.06,2,Margaret Atwood,The Handmaid's Tale,128.0912808,22.85571732
102,93,273,4,3.75,0,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",-15.79001362,21.08155872
103,370,227,4,3.88,2,"Vladimir Nabokov, Craig Raine",Lolita,264.7696831,9.62634675
104,80,267,4,3.52,0,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",-27.94989002,13.52290563
105,11,263,4,3.99,0,John Grisham,"The Firm (Penguin Readers, Level 5)",-95.92838205,1.036255755
106,1929,56,4,4,1,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,1832.954083,32.37636817
107,241,237,4,4.19,2,Frank Herbert,Dune (Dune Chronicles #1),135.5219151,3.626166007
108,100,272,4,3.92,0,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,-8.720126749,20.95324972
109,275,234,4,4.18,2,Ken Kesey,One Flew Over the Cuckoo's Nest,169.6321877,4.846044526
110,666,224,4,3.73,4,Ernest Hemingway,The Old Man and the Sea,558.8759619,43.18694283
111,381,211,4,3.92,2,John Steinbeck,The Grapes of Wrath,277.6606543,-4.893216004
112,123,275,16,3.9,0,Mitch Albom,The Five People You Meet in Heaven,13.72361777,26.70017679
113,1314,180,4,4.23,1,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",1207.351001,79.51171994
114,175,272,4,4.54,0,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",65.70615071,30.2109428
115,75,268,3,3.79,0,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,-33.03428149,13.90375549
116,189,263,4,4.2,0,Diana Gabaldon,"Outlander (Outlander, #1)",80.71009816,23.00812619
117,1579,126,4,3.37,1,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,1476.990131,58.63678951
118,255,261,4,4.29,2,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",146.4521529,29.17032569
119,180,273,4,3.67,0,Dan Brown,Deception Point,70.54454112,31.82065936
120,150,279,4,4.02,0,Jay Asher,Thirteen Reasons Why,40.03330842,34.07146331
121,169,271,4,3.85,0,Tracy Chevalier,Girl with a Pearl Earring,59.87555144,28.47813336
122,80,269,3,4.16,0,Anita Diamant,The Red Tent,-28.19600416,15.51319794
123,121,278,4,4.23,0,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",11.37855132,29.499387
124,111,278,3,4.01,0,Nicholas Sparks,Dear John,1.455893474,28.27082095
125,125,280,4,4.21,0,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",15.10106857,31.97781349
126,1732,61,4,3.88,1,William Shakespeare,Macbeth,1636.843701,13.02083869
127,453,226,3,4.42,2,J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",347.2590547,18.88498649
128,65,276,4,3.83,0,Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",-43.94618586,20.60229114
129,72,232,3,4.29,0,"Dr. Seuss, ??? ????",Green Eggs and Ham,-31.56737737,-22.19074849
130,338,236,4,4.1,2,"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",231.9034265,14.60731065
131,92,280,4,4.39,0,Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",-17.64653481,27.90432844
132,1725,135,4,3.75,1,Charles Dickens,Great Expectations,1620.762359,85.5896349
133,470,227,3,4.51,2,J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",364.005571,21.97574366
134,675,214,4,3.96,4,"Albert Camus, Matthew    Ward",The Stranger,569.0415463,34.37447598
135,176,277,3,4.1,0,George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)",66.0821526,35.30191828
136,196,273,4,4.11,0,Neil Gaiman,"American Gods (American Gods, #1)",86.42211891,33.79556586
137,195,250,3,4.34,2,"Stephen King, Bernie Wrightson",The Stand,88.26980429,10.854122
138,185,270,2,3.6,0,Dan Brown,Digital Fortress,75.87830327,29.47238215
139,1710,101,4,3.99,1,"Jane Austen, Fiona Stafford",Emma,1610.074185,49.99860669
140,1492,149,4,4.02,1,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina,1387.8163,70.72128079
141,283,234,4,3.98,2,Anthony Burgess,A Clockwork Orange,177.5710149,5.833590621
142,134,279,4,3.74,0,William Paul Young,The Shack,24.15571604,32.09652145
143,7,258,3,4.18,0,Stephen King,It,-99.27974791,-4.413452338
144,1714,141,4,4.18,1,"Fyodor Dostoyevsky, David McDuff",Crime and Punishment,1609.105791,90.18573812
145,246,235,3,3.98,2,Sylvia Plath,The Bell Jar,140.7314122,2.264492644
146,184,268,4,4.07,0,Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",75.13113177,27.35264407
147,972,194,4,3.99,4,"Hermann Hesse, Hilda Rosner",Siddhartha,866.2387168,51.18876544
148,223,237,4,4.05,2,Truman Capote,In Cold Blood,117.6596077,1.404317724
149,242,260,4,4.29,2,"Roald Dahl, Quentin Blake",Matilda,133.6750329,26.57329957
150,111,273,4,4.04,0,Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",2.072280097,23.30337384
151,98,277,4,3.86,0,Scott Westerfeld,"Uglies (Uglies, #1)",-11.32204617,25.66806533
152,115,282,4,4.31,0,George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.930659187,32.72808516
153,380,227,4,4.47,2,J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",274.6931405,10.86059367
154,90,259,3,4.35,0,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,-17.03806499,6.824177661
155,123,279,4,4.55,0,Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)",13.23977985,30.73852729
156,1823,127,4,3.46,1,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale",1719.000352,89.74791255
157,162,268,4,4.2,0,Chuck Palahniuk,Fight Club,53.29939528,24.63698515
158,109,273,3,3.96,0,Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",0.088418443,23.06227872
159,155,254,4,4.17,0,Alice Walker,The Color Purple,48.08116359,9.880229765
160,119,277,4,4.12,0,John Grogan,Marley and Me: Life and Love With the World's Worst Dog,9.517303643,28.26020029
161,474,211,4,4.23,2,Agatha Christie,And Then There Were None,369.9492802,6.586424835
162,2380,119,16,4.02,3,Charles Dickens,A Christmas Carol,2272.717431,150.4947708
163,189,248,4,3.97,0,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",82.56178709,8.1231436
164,109,266,3,4.03,0,Janet Evanovich,"One for the Money (Stephanie Plum, #1)",0.952523768,16.11591431
165,187,260,4,4.14,0,Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)",79.09573499,19.7842573
166,116,277,3,3.89,0,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,6.541104548,27.89570059
167,155,273,4,3.88,0,Ian McEwan,Atonement,45.73574397,28.73466956
168,1316,187,4,3.78,1,"Franz Kafka, Stanley Corngold",The Metamorphosis,1208.471633,86.70504383
169,94,279,4,4.33,0,Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",-15.53838257,27.15888161
170,90,278,4,4.19,0,Garth Stein,The Art of Racing in the Rain,-19.38432975,25.67282606
171,70,275,4,3.98,0,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",-38.86099941,20.22711109
172,270,228,4,4.24,2,"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)",165.4110938,-1.725170788
173,74,267,4,4.08,0,Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)",-33.90404781,12.78215542
174,143,252,4,3.98,0,Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)",36.41985653,6.414347821
175,163,273,4,3.82,0,Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)",53.6745584,29.72218471
176,81,224,4,4.35,0,John Steinbeck,East of Eden,-21.64949981,-29.0242693
177,134,265,4,3.97,0,John Grisham,The Client,25.88391848,18.20377273
178,84,274,4,3.4,0,"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)",-24.84458631,20.96303204
179,845,140,4,4.06,4,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass,746.8761228,-18.07396277
180,1451,102,4,4.13,1,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,1352.931787,19.0205379
181,213,254,3,3.99,2,Stephen King,"The Gunslinger (The Dark Tower, #1)",105.6383783,17.04542086
182,347,257,4,3.89,2,"Gabriel García Márquez, Edith Grossman",Love in the Time of Cholera,238.2422706,36.5573435
183,87,271,4,4,0,Laurie Halse Anderson,Speak,-21.49725408,18.35620592
184,101,269,3,4.11,0,Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,-7.356626077,18.10540143
185,249,246,16,3.93,2,Stephen King,Carrie,142.3397475,13.47559348
186,79,274,3,3.7,0,Augusten Burroughs,Running with Scissors,-29.80553598,20.3515397
187,137,278,3,4.01,0,Max Brooks,World War Z: An Oral History of the Zombie War,27.25702259,31.48020206
188,81,261,4,4.11,0,Lois Lowry,Number the Stars,-26.21692553,7.692199564
189,122,265,4,4.08,0,James Patterson,"Along Came a Spider (Alex Cross, #1)",13.97569501,16.72249559
190,197,259,2,4.11,2,Stephen King,Misery,89.14436003,20.03783104
191,136,278,3,3.92,0,Gillian Flynn,Sharp Objects,26.26467968,31.35678422
192,125,249,4,3.98,0,Katherine Paterson,Bridge to Terabithia,18.92786996,1.215461901
193,97,279,3,3.79,0,"P.C. Cast, Kristin Cast","Marked (House of Night, #1)",-12.56044667,27.53507685
194,250,261,3,4.05,2,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,141.4912525,28.55895273
195,1379,51,4,3.94,1,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,1287.778195,-40.47605071
196,104,277,3,3.97,0,Jonathan Safran Foer,Extremely Loud and Incredibly Close,-5.367116188,26.41443008
197,99,229,4,4.15,0,Dr. Seuss,The Cat in the Hat,-4.404384064,-21.84066804
198,147,229,4,3.68,0,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,43.22851256,-15.91555285
199,67,278,3,3.64,0,"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,-42.20752206,22.8396424
200,4,140,4,4.03,0,"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland,-87.69116637,-121.8850914
201,279,273,4,4.24,2,"Carlos Ruiz Zafón, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",168.78725,44.04086914
202,353,208,4,4.13,2,Dale Carnegie,How to Win Friends and Influence People,250.2451374,-11.3265257
203,59,268,4,3.72,0,Frances Mayes,Under the Tuscan Sun,-48.91272631,11.92300454
204,61,269,4,3.97,0,Gail Carson Levine,Ella Enchanted,-47.0514914,13.16216031
205,343,198,3,3.83,2,Ernest Hemingway,The Sun Also Rises,241.5569321,-22.47842969
206,127,215,4,4.24,0,Betty  Smith,A Tree Grows in Brooklyn,25.1096625,-32.27712923
207,111,267,4,3.93,0,James Patterson,"Kiss the Girls (Alex Cross, #2)",2.812957308,17.34938479
208,159,277,4,3.8,0,Kazuo Ishiguro,Never Let Me Go,49.21137763,33.19778044
209,17,275,3,4.01,0,Cecelia Ahern,P.S. I Love You,-91.45477822,13.69066716
210,306,210,3,4.2,2,"Daphne du Maurier, Sally Beauman",Rebecca,203.3585726,-15.13768094
211,163,238,3,4.07,0,Daniel Keyes,Flowers for Algernon,57.99592743,-5.003852583
212,177,261,3,3.94,0,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate,69.04963078,19.54802238
213,105,277,4,4.05,0,Lisa See,Snow Flower and the Secret Fan,-4.375605654,26.53208747
214,259,241,4,4.36,2,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,152.8904416,9.817349908
215,116,278,4,3.63,0,John Green,An Abundance of Katherines,6.416850439,28.88233097
216,169,223,4,4.13,0,Isaac Asimov,Foundation (Foundation #1),65.80086334,-19.15403553
217,32,253,4,4.34,0,Shel Silverstein,A Light in the Attic,-73.85459515,-6.294984804
218,145,264,4,3.95,0,John Grisham,The Pelican Brief,36.92322715,18.56925667
219,153,274,4,4.03,0,Neil Gaiman,Coraline,43.62758352,29.48009649
220,114,262,3,4.25,0,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",6.408037424,12.7637121
221,312,227,4,3.64,2,Jack Kerouac,On the Road,207.2133401,2.467011167
222,99,280,3,4.1,0,Nicholas Sparks,The Lucky One,-10.69921723,28.77421935
223,154,215,4,3.85,0,"Ayn Rand, Leonard Peikoff",The Fountainhead,51.90317831,-28.94422416
224,117,256,16,4.01,0,Tom Clancy,"The Hunt for Red October (Jack Ryan Universe, #4)",10.11494708,7.10515038
225,193,244,4,4.05,2,Richard Adams,"Watership Down (Watership Down, #1)",87.02496239,4.647534605
226,299,223,4,4.08,2,"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",194.8065135,-3.10711891
227,2573,154,4,3.82,3,Robert Louis Stevenson,Treasure Island,2459.930657,209.1191945
228,162,241,4,4.29,0,Eric Carle,The Very Hungry Caterpillar Board Book,56.63238937,-2.156094928
229,155,235,4,4.18,0,Kurt Vonnegut Jr.,Cat's Cradle,50.42660874,-8.974148131
230,1248,167,4,3.87,1,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,1143.460639,58.46454669
231,178,278,4,4.1,0,John Boyne,The Boy in the Striped Pajamas,67.94257702,36.53536665
232,1369,171,4,3.42,1,Joseph Conrad,Heart of Darkness,1263.041388,77.36995438
233,113,278,4,3.62,0,Rhonda Byrne,"The Secret (The Secret, #1)",3.439797991,28.51201997
234,52,270,4,4.17,0,Wally Lamb,I Know This Much Is True,-56.10611425,13.04351204
235,198,255,4,3.91,2,Stephen King,Pet Sematary,90.62884093,16.18044542
236,61,264,3,3.84,0,Wally Lamb,She's Come Undone,-46.43342361,8.206273898
237,94,275,3,3.83,0,Sophie Kinsella,Can You Keep a Secret?,-15.04372556,23.19541256
238,71,273,3,3.7,0,Jennifer Weiner,"Good in Bed (Cannie Shapiro, #1)",-37.62090041,18.37170226
239,201,249,4,4.22,2,Colleen McCullough,The Thorn Birds,94.3465332,10.59667672
240,134,275,3,3.86,0,"Cornelia Funke, Anthea Bell","Inkheart (Inkworld, #1)",24.6503165,28.13291533
241,128,270,4,3.74,0,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,19.31261009,22.42487497
242,95,269,4,4.05,0,Bill Bryson,A Walk in the Woods,-13.31156062,17.35902562
243,107,241,3,4.19,0,Maya Angelou,I Know Why the Caged Bird Sings,2.05392018,-8.939385593
244,69,233,16,4.04,0,Wilson Rawls,Where the Red Fern Grows,-34.67868523,-21.64358547
245,152,268,4,4.18,0,Neil Gaiman,Neverwhere,43.3758859,23.40261222
246,274,256,4,4.08,2,"Milan Kundera, Michael Henry Heim",The Unbearable Lightness of Being,165.924066,26.55401127
247,138,261,4,4.22,0,John Irving,A Prayer for Owen Meany,30.34707828,14.72812615
248,96,271,4,3.93,0,Janet Fitch,White Oleander,-12.56608761,19.46716101
249,84,279,4,4.1,0,Jodi Picoult,Nineteen Minutes,-25.46187279,25.9245551
250,111,280,4,4.25,0,"Randy Pausch, Jeffrey Zaslow",The Last Lecture,1.208149238,30.24967635
251,94,262,4,4.18,0,Robert Jordan,"The Eye of the World (Wheel of Time, #1)",-13.43981188,10.28921021
252,76,270,3,4,0,Jodi Picoult,The Pact,-32.28883858,16.01181793
253,312,225,4,4.01,2,C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)",207.4601954,0.482258247
254,182,233,4,3.99,0,"Roald Dahl, Quentin Blake",James and the Giant Peach,77.46699537,-7.625958404
255,107,273,3,4.05,0,James Patterson,"1st to Die (Women's Murder Club, #1)",-1.896292005,22.81538335
256,32,268,4,4.37,0,Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy,-75.70626583,8.590042
257,98,219,3,4.27,0,"Margaret Wise Brown, Clement Hurd",Goodnight Moon,-4.16146754,-31.88172527
